"","org_id.x","org_name.x","org_abbr.x","relation.x","org_id.y","org_name.y","org_abbr.y","relation.y","fr_id","fr_name","fr_abbr","fr_subjects"
"1",2305,"Pensoft Publishers","Pensoft","maintains",3195,"Vizzuality","Vizzu","maintains",2227,"Scratchpads","Scratchpads","Biodiversity| Natural History"
"2",2305,"Pensoft Publishers","Pensoft","maintains",2093,"Natural History Museum","Natur","maintains",2227,"Scratchpads","Scratchpads","Biodiversity| Natural History"
"3",2305,"Pensoft Publishers","Pensoft","maintains",860,"Encyclopedia of Life","Encyc","maintains",2227,"Scratchpads","Scratchpads","Biodiversity| Natural History"
"4",2305,"Pensoft Publishers","Pensoft","maintains",892,"EU FP7 ViBRANT","EUFP7","funds",2227,"Scratchpads","Scratchpads","Biodiversity| Natural History"
"5",2305,"Pensoft Publishers","Pensoft","maintains",2461,"Royal Botanic Gardens, Kew","Royal","funds",2227,"Scratchpads","Scratchpads","Biodiversity| Natural History"
"6",2305,"Pensoft Publishers","Pensoft","maintains",2745,"The Biodiversity Heritage Library","TheBi","maintains",2227,"Scratchpads","Scratchpads","Biodiversity| Natural History"
"7",2305,"Pensoft Publishers","Pensoft","maintains",281,"Biodiversity Virtual e-Laboratory, Seventh Framework Programme","Biodi","maintains",2227,"Scratchpads","Scratchpads","Biodiversity| Natural History"
"9",2305,"Pensoft Publishers","Pensoft","maintains",947,"European Organisation for Nuclear Research (CERN), Geneva, Switzerland","CERN","collaborates_on",3776,"Biodiversity Community Integrated Knowledge Library","BiCIKL","Knowledge and Information Systems| Metagenomics| Genomics| Bioinformatics| Taxonomy| Biodiversity| Natural Science| Phylogenomics| Life Science| Natural History"
"10",2305,"Pensoft Publishers","Pensoft","maintains",3378,"Plazi","Plazi","collaborates_on",3776,"Biodiversity Community Integrated Knowledge Library","BiCIKL","Knowledge and Information Systems| Metagenomics| Genomics| Bioinformatics| Taxonomy| Biodiversity| Natural Science| Phylogenomics| Life Science| Natural History"
"12",2305,"Pensoft Publishers","Pensoft","maintains",2094,"Naturalis Biodiversity Center","Naturalis","collaborates_on",3776,"Biodiversity Community Integrated Knowledge Library","BiCIKL","Knowledge and Information Systems| Metagenomics| Genomics| Bioinformatics| Taxonomy| Biodiversity| Natural Science| Phylogenomics| Life Science| Natural History"
